Date,Open,High,Low,Close,Volume,Adj Close
2016-07-22,68.940002,69.029999,68.709999,68.860001,5772400,68.860001
2016-07-21,68.949997,69.00,68.25,68.730003,5259500,68.730003
2016-07-20,69.239998,69.360001,68.860001,69.010002,4272300,69.010002
2016-07-19,68.809998,69.230003,68.449997,69.220001,4725400,69.220001
2016-07-18,69.309998,69.419998,68.82,69.169998,4570000,69.169998
2016-07-15,69.169998,69.480003,68.949997,69.410004,5714100,69.410004
2016-07-14,68.879997,69.309998,68.699997,68.919998,5170500,68.919998
2016-07-13,68.900002,69.32,68.879997,69.080002,5661300,69.080002
2016-07-12,69.650002,69.860001,68.839996,68.870003,7752900,68.870003
2016-07-11,69.900002,70.059998,69.129997,69.870003,5101300,69.870003
2016-07-08,69.440002,69.889999,68.889999,69.830002,5339500,69.830002
2016-07-07,69.900002,69.949997,69.25,69.300003,5330900,69.300003
2016-07-06,69.57,70.00,69.199997,69.720001,6665600,69.720001
2016-07-05,69.120003,70.150002,69.00,69.610001,7905300,69.610001
2016-07-01,69.279999,69.629997,68.860001,69.019997,7087400,69.019997
2016-06-30,67.900002,69.260002,67.599998,68.959999,9858600,68.959999
2016-06-29,68.239998,68.419998,67.519997,67.830002,7191100,67.830002
2016-06-28,67.690002,67.919998,66.970001,67.910004,8631600,67.910004
2016-06-27,67.07,67.980003,66.949997,67.93,11135200,67.93
2016-06-24,65.139999,68.00,65.07,67.019997,16923900,67.019997
2016-06-23,66.489998,66.57,65.959999,66.309998,5042000,66.309998
2016-06-22,66.360001,66.599998,66.089996,66.150002,4919400,66.150002
2016-06-21,66.290001,66.75,66.160004,66.18,4710400,66.18
2016-06-20,65.769997,66.18,65.57,65.879997,5787300,65.879997
2016-06-17,65.849998,65.93,64.940002,65.400002,7311700,65.400002
2016-06-16,65.330002,66.00,65.059998,65.949997,5778300,65.949997
2016-06-15,65.43,65.720001,64.830002,65.330002,5361500,65.330002
2016-06-14,64.970001,65.389999,64.519997,65.300003,7870400,65.300003
2016-06-13,65.50,65.900002,64.809998,64.839996,7761100,64.839996
2016-06-10,65.559998,66.190002,65.519997,66.129997,5208200,65.564996
2016-06-09,65.50,66.00,65.25,65.860001,4638100,65.297307
2016-06-08,65.019997,65.68,64.870003,65.620003,5437700,65.059359
2016-06-07,65.220001,65.440002,64.970001,65.099998,4177200,64.543798
2016-06-06,65.459999,65.650002,64.879997,65.199997,4813400,64.642942
2016-06-03,64.50,65.50,64.389999,65.300003,6829500,64.742094
2016-06-02,64.260002,64.360001,63.919998,64.309998,3673000,63.760546
2016-06-01,63.68,64.50,63.66,64.349998,5993500,63.800206
2016-05-31,64.120003,64.290001,63.240002,63.639999,6922600,63.096273
2016-05-27,64.059998,64.269997,63.669998,63.959999,3255700,63.413538
2016-05-26,63.849998,64.089996,63.650002,64.00,3732700,63.453197
2016-05-25,63.790001,64.150002,63.639999,63.919998,4265900,63.373879
2016-05-24,63.59,64.120003,63.509998,63.790001,5209700,63.244993
2016-05-23,62.990002,63.349998,62.810001,63.240002,3709800,62.699692
2016-05-20,63.59,63.700001,62.759998,62.959999,4815400,62.422082
2016-05-19,62.880001,63.380001,62.57,63.349998,4379800,62.808749
2016-05-18,63.709999,63.740002,62.650002,62.990002,6277100,62.451828
2016-05-17,64.449997,64.489998,63.50,63.880001,6949500,63.334224
2016-05-16,64.300003,64.93,63.66,64.760002,4811000,64.206706
2016-05-13,64.699997,65.529999,64.370003,64.580002,5643500,64.028244
2016-05-12,64.660004,65.239998,64.349998,65.019997,5652800,64.464479
2016-05-11,64.529999,64.870003,64.32,64.610001,4776400,64.057986
2016-05-10,63.98,64.650002,63.709999,64.599998,6489200,64.04807
2016-05-09,63.16,63.779999,62.919998,63.66,6759300,63.116102
2016-05-06,62.720001,63.209999,62.66,62.93,7225400,62.39234
2016-05-05,62.669998,63.580002,62.59,62.84,8835500,62.303108
2016-05-04,62.939999,63.59,62.689999,63.23,5468800,62.689776
2016-05-03,63.049999,63.459999,62.779999,63.200001,5197900,62.660033
2016-05-02,62.830002,63.419998,62.599998,63.119999,4740200,62.580715
2016-04-29,62.279999,63.130001,62.25,62.709999,6470300,62.174218
2016-04-28,61.599998,62.599998,61.560001,62.189999,5545000,61.65866
2016-04-27,61.439999,61.98,60.98,61.549999,6189400,61.024129
2016-04-26,61.27,61.529999,60.790001,61.349998,5619400,60.825837
2016-04-25,60.50,61.23,60.189999,61.220001,4785800,60.69695
2016-04-22,60.240002,60.560001,59.48,60.52,6978100,60.00293
2016-04-21,61.349998,61.419998,60.09,60.18,6611700,59.665835
2016-04-20,61.57,61.919998,61.209999,61.48,4636900,60.954727
2016-04-19,61.990002,62.09,61.130001,61.709999,4966500,61.182762
2016-04-18,61.68,62.419998,61.580002,62.169998,4344000,61.638831
2016-04-15,61.709999,61.75,60.849998,61.68,6738700,61.153019
2016-04-14,62.189999,62.66,61.50,61.59,7386500,61.063788
2016-04-13,64.110001,64.110001,61.029999,62.07,14748200,61.539687
2016-04-12,63.599998,63.98,63.330002,63.82,4980600,63.274735
2016-04-11,64.110001,64.160004,63.220001,63.310001,5929000,62.769094
2016-04-08,63.419998,63.959999,63.419998,63.799999,5044800,63.254905
2016-04-07,63.220001,63.709999,62.830002,63.41,5600200,62.868238
2016-04-06,63.00,63.639999,62.919998,63.560001,5581300,63.016958
2016-04-05,63.040001,63.27,62.790001,62.93,4729100,62.39234
2016-04-04,63.029999,63.299999,62.669998,63.23,5093000,62.689776
2016-04-01,62.349998,63.150002,62.110001,63.060001,5833100,62.52123
2016-03-31,62.580002,63.00,62.369999,62.66,6442800,62.124646
2016-03-30,62.16,62.799999,62.029999,62.580002,6623100,62.045331
2016-03-29,61.860001,62.580002,61.48,62.029999,8973300,61.500028
2016-03-28,60.869999,61.849998,60.849998,61.630001,4468500,61.103447
2016-03-24,60.810001,61.290001,60.509998,60.880001,5652700,60.359855
2016-03-23,60.860001,61.779999,60.330002,61.41,6229300,60.885326
2016-03-22,61.450001,61.66,60.77,61.00,5198500,60.478829
2016-03-21,61.450001,62.00,61.060001,61.720001,4124700,61.192679
2016-03-18,62.389999,62.439999,61.389999,61.540001,16636600,61.014216
2016-03-17,62.07,62.68,62.009998,62.330002,7225100,61.797467
2016-03-16,61.830002,62.220001,61.279999,62.07,5282300,61.539687
2016-03-15,61.689999,62.060001,61.669998,61.860001,5815100,61.331482
2016-03-14,62.139999,62.299999,61.57,62.009998,4755100,61.480198
2016-03-11,62.799999,62.860001,61.740002,62.009998,7469800,61.480198
2016-03-10,62.91,63.150002,62.419998,63.00,6126100,61.901568
2016-03-09,62.639999,62.889999,62.400002,62.810001,5932700,61.714882
2016-03-08,61.77,62.389999,61.450001,62.299999,5875100,61.213772
2016-03-07,62.860001,63.080002,61.599998,61.810001,9973000,60.732317
2016-03-04,62.150002,63.07,61.880001,62.98,5930900,61.881916
2016-03-03,61.50,62.290001,61.16,62.23,5119100,61.144993
2016-03-02,61.48,61.689999,61.029999,61.50,5623100,60.427721
2016-03-01,62.130001,62.290001,61.32,61.73,7102000,60.65371
2016-02-29,61.509998,62.240002,61.27,61.57,6266400,60.4965
2016-02-26,62.529999,62.529999,61.279999,61.540001,5543600,60.467024
2016-02-25,61.50,62.450001,61.380001,62.380001,5207200,61.292379
2016-02-24,61.200001,61.419998,60.630001,61.360001,4186900,60.290163
2016-02-23,61.220001,61.77,61.040001,61.52,4686100,60.447373
2016-02-22,60.560001,61.360001,60.560001,61.209999,4590500,60.142776
2016-02-19,60.619999,60.93,60.029999,60.560001,4982300,59.504112
2016-02-18,60.32,60.700001,60.23,60.619999,5524700,59.563063
2016-02-17,60.470001,60.75,59.849998,60.400002,5311700,59.346901
2016-02-16,60.259998,60.540001,59.73,60.299999,6590900,59.248643
2016-02-12,60.330002,60.639999,59.509998,59.970001,6719700,58.924398
2016-02-11,59.57,60.299999,59.18,59.990002,5865900,58.94405
2016-02-10,60.610001,61.080002,59.919998,60.049999,6137500,59.003002
2016-02-09,60.150002,61.130001,59.73,60.450001,7670800,59.396029
2016-02-08,59.110001,60.419998,59.00,60.119999,7922900,59.071781
2016-02-05,59.799999,60.00,58.84,59.799999,7506300,58.75736
2016-02-04,59.349998,59.959999,58.869999,59.48,6364700,58.44294
2016-02-03,60.50,61.02,59.139999,59.84,7979700,58.796664
2016-02-02,60.439999,60.799999,60.049999,60.490002,6734700,59.435332
2016-02-01,60.73,61.380001,60.700001,60.939999,6017600,59.877483
2016-01-29,60.220001,61.18,60.02,61.110001,10240000,60.044521
2016-01-28,58.110001,59.889999,58.02,59.630001,7445900,58.590326
2016-01-27,58.990002,60.119999,58.509998,58.959999,8297200,57.932006
2016-01-26,58.709999,59.700001,58.349998,58.959999,8360900,57.932006
2016-01-25,58.490002,59.139999,58.27,58.400002,6677800,57.381772
2016-01-22,58.150002,58.41,57.52,58.279999,6449300,57.263862
2016-01-21,57.48,57.740002,56.759998,57.450001,6150900,56.448335
2016-01-20,57.57,58.139999,56.150002,57.220001,9562900,56.222346
2016-01-19,57.779999,58.650002,57.689999,58.400002,7911500,57.381772
2016-01-15,57.049999,58.150002,56.830002,57.200001,9785800,56.202694
2016-01-14,57.700001,58.700001,57.509998,58.220001,6739100,57.20491
2016-01-13,59.349998,59.349998,57.700001,57.779999,7714600,56.77258
2016-01-12,59.959999,60.080002,58.919998,59.380001,5628400,58.344685
2016-01-11,58.68,59.740002,58.68,59.459999,8228800,58.423288
2016-01-08,58.299999,59.23,58.029999,58.240002,7059500,57.224562
2016-01-07,57.919998,59.299999,57.830002,58.139999,7314200,57.126303
2016-01-06,58.049999,59.470001,58.00,59.169998,7686600,58.138344
2016-01-05,57.48,58.740002,57.419998,58.549999,6407700,57.529155
2016-01-04,57.540001,57.580002,56.560001,57.389999,6800600,56.38938
2015-12-31,58.509998,58.700001,58.099998,58.209999,3652200,57.195083
2015-12-30,58.98,59.130001,58.619999,58.799999,3236800,57.774796
2015-12-29,58.59,58.990002,58.349998,58.919998,3813300,57.892703
2015-12-28,58.110001,58.439999,57.830002,58.27,3376900,57.254038
2015-12-24,58.32,58.580002,58.25,58.290001,1785200,57.27369
2015-12-23,57.939999,58.490002,57.68,58.43,4148700,57.411248
2015-12-22,57.169998,57.889999,56.75,57.77,6713700,56.762756
2015-12-21,57.43,57.720001,56.639999,57.439999,7881700,55.883359
2015-12-18,58.130001,58.189999,57.110001,57.130001,11698500,55.581763
2015-12-17,58.790001,58.950001,58.34,58.43,5165700,56.846532
2015-12-16,57.720001,59.150002,57.400002,58.950001,6865100,57.35244
2015-12-15,57.779999,58.240002,57.16,57.34,6015200,55.786071
2015-12-14,56.389999,57.59,56.169998,57.52,6497300,55.961193
2015-12-11,56.720001,57.09,56.240002,56.459999,5310900,54.929918
2015-12-10,57.48,57.66,56.830002,57.18,4717800,55.630407
2015-12-09,58.02,58.470001,57.049999,57.330002,5427900,55.776344
2015-12-08,58.18,58.360001,57.759998,58.23,3227300,56.651951
2015-12-07,58.59,58.91,58.07,58.27,4262000,56.690868
2015-12-04,57.459999,58.57,57.43,58.509998,7450900,56.924362
2015-12-03,57.700001,58.00,56.860001,57.09,5165000,55.542846
2015-12-02,57.889999,58.400002,57.75,57.84,5269500,56.272521
2015-12-01,57.66,57.959999,57.27,57.889999,4852100,56.321165
2015-11-30,57.959999,58.50,57.50,57.599998,7878400,56.039023
2015-11-27,57.59,58.029999,57.50,57.75,1767900,56.18496
2015-11-25,57.599998,57.73,57.16,57.50,2980100,55.941735
2015-11-24,57.389999,57.830002,57.009998,57.57,3714300,56.009837
2015-11-23,57.32,57.84,57.139999,57.619999,4521800,56.058482
2015-11-20,57.549999,58.380001,57.080002,57.130001,6329000,55.581763
2015-11-19,57.220001,58.029999,57.220001,57.459999,5583700,55.902818
2015-11-18,56.889999,57.150002,56.439999,57.060001,6322200,55.51366
2015-11-17,56.849998,57.099998,56.509998,56.68,3883400,55.143957
2015-11-16,56.279999,56.919998,56.25,56.77,5152000,55.231518
2015-11-13,56.759998,57.040001,56.259998,56.279999,4651700,54.754796
2015-11-12,57.150002,57.400002,56.59,56.759998,5254100,55.221787
2015-11-11,57.00,57.740002,57.00,57.209999,8123400,55.659593
2015-11-10,57.009998,57.290001,56.709999,56.790001,4866800,55.250977
2015-11-09,56.779999,57.380001,56.580002,57.080002,6247700,55.533119
2015-11-06,57.75,57.790001,56.349998,57.09,7996300,55.542846
2015-11-05,58.400002,58.459999,57.77,58.049999,5382100,56.476829
2015-11-04,57.889999,58.23,57.77,58.029999,9298800,56.45737
2015-11-03,59.939999,60.00,57.73,57.849998,12133800,56.282248
2015-11-02,60.82,60.889999,59.990002,60.50,5921200,58.860434
2015-10-30,61.200001,61.299999,60.450001,60.470001,6882500,58.831248
2015-10-29,61.459999,61.740002,60.529999,61.529999,6018100,59.86252
2015-10-28,61.330002,61.439999,60.57,61.439999,5143900,59.774958
2015-10-27,61.060001,61.279999,60.610001,61.060001,4500900,59.405259
2015-10-26,61.360001,61.580002,60.939999,61.400002,5101700,59.736045
2015-10-23,61.509998,61.580002,60.220001,61.049999,8025000,59.395528
2015-10-22,60.099998,61.57,60.09,61.400002,7372700,59.736045
2015-10-21,59.740002,60.330002,59.369999,59.84,5204700,58.21832
2015-10-20,59.669998,59.939999,59.369999,59.740002,5432000,58.121032
2015-10-19,58.669998,59.720001,58.419998,59.66,6403700,58.043198
2015-10-16,58.27,59.119999,58.049999,58.720001,9053400,57.128674
2015-10-15,57.970001,58.32,57.720001,57.869999,7314500,56.301707
2015-10-14,57.43,57.93,57.419998,57.549999,6087300,55.990379
2015-10-13,57.549999,57.77,57.16,57.619999,6167600,56.058482
2015-10-12,56.849998,57.669998,56.810001,57.459999,6053200,55.902818
2015-10-09,56.599998,57.50,56.50,56.810001,8383100,55.270435
2015-10-08,55.869999,56.380001,55.389999,56.369999,5587600,54.842357
2015-10-07,55.41,55.900002,55.34,55.900002,5922100,54.385097
2015-10-06,55.59,55.959999,55.25,55.41,5639300,53.908374
2015-10-05,55.240002,55.75,55.009998,55.73,8563500,54.219702
2015-10-02,53.82,54.869999,53.68,54.860001,5000000,53.37328
2015-10-01,54.459999,54.540001,53.75,54.220001,7114600,52.750625
2015-09-30,54.82,54.939999,54.02,54.400002,7766600,52.925747
2015-09-29,54.639999,54.82,53.869999,54.23,7335900,52.760352
2015-09-28,54.34,55.50,54.299999,54.630001,7882700,53.149514
2015-09-25,54.77,55.360001,54.59,54.790001,5656800,53.305177
2015-09-24,54.139999,54.790001,54.040001,54.610001,5602300,53.130055
2015-09-23,54.07,54.490002,54.00,54.400002,3677100,52.925747
2015-09-22,54.189999,54.549999,53.889999,54.200001,4949900,52.731166
2015-09-21,54.490002,54.959999,54.279999,54.790001,4085100,53.305177
2015-09-18,54.00,55.240002,53.880001,54.049999,12866900,52.58523
2015-09-17,55.220001,55.360001,54.400002,54.689999,9801600,53.207885
2015-09-16,55.50,55.66,54.82,55.360001,10713500,53.85973
2015-09-15,52.689999,54.200001,52.27,54.110001,10665600,52.643605
2015-09-14,52.720001,52.799999,52.150002,52.450001,5568700,51.028592
2015-09-11,52.689999,53.119999,52.200001,52.59,5373400,51.164797
2015-09-10,52.98,53.48,52.82,53.27,7974700,51.276683
2015-09-09,53.98,54.150002,52.860001,53.02,6454000,51.036038
2015-09-08,52.959999,53.50,52.650002,53.490002,5792800,51.488452
2015-09-04,53.00,53.080002,52.139999,52.380001,7089600,50.419986
2015-09-03,53.400002,53.93,53.299999,53.59,4961600,51.584708
2015-09-02,52.57,53.200001,52.459999,53.130001,6616100,51.141922
2015-09-01,52.720001,52.720001,51.700001,52.029999,8717100,50.083081
2015-08-31,53.970001,54.119999,53.50,53.580002,5035700,51.575084
2015-08-28,53.700001,54.299999,53.639999,54.169998,7450100,52.143003
2015-08-27,53.66,53.98,52.68,53.709999,7654000,51.700217
2015-08-26,53.00,53.299999,51.599998,53.209999,10016200,51.218927
2015-08-25,53.509998,53.830002,51.82,51.82,9402700,49.88094
2015-08-24,48.709999,52.139999,47.41,52.139999,17160800,50.188965
2015-08-21,54.220001,54.990002,53.900002,53.939999,10551300,51.92161
2015-08-20,54.34,55.34,54.200001,54.73,6020800,52.68205
2015-08-19,55.00,55.279999,54.169998,54.810001,8330000,52.759058
2015-08-18,55.580002,55.68,55.099998,55.200001,4944400,53.134464
2015-08-17,55.50,55.77,55.099998,55.669998,3382600,53.586875
2015-08-14,55.57,55.790001,55.27,55.759998,4105000,53.673507
2015-08-13,55.509998,55.669998,55.119999,55.57,6094100,53.490618
2015-08-12,55.310001,55.740002,55.200001,55.740002,5880900,53.654259
2015-08-11,55.43,56.389999,55.240002,55.73,8357800,53.644631
2015-08-10,55.700001,55.990002,55.509998,55.709999,4658400,53.625379
2015-08-07,55.50,55.66,55.07,55.490002,5507700,53.413614
2015-08-06,55.650002,55.799999,55.48,55.57,5965500,53.490618
2015-08-05,55.130001,55.630001,54.950001,55.470001,6200800,53.394361
2015-08-04,54.549999,55.080002,54.50,54.919998,4901600,52.864939
2015-08-03,54.43,54.68,54.099998,54.66,4055000,52.61467
2015-07-31,54.549999,54.59,54.259998,54.380001,4843900,52.345148
2015-07-30,53.73,54.360001,53.50,54.200001,7259100,52.171883
2015-07-29,55.509998,55.720001,54.049999,54.400002,9425600,52.3644
2015-07-28,54.099998,55.299999,54.00,55.25,9298900,53.182592
2015-07-27,53.529999,54.130001,53.509998,53.950001,5979900,51.931238
2015-07-24,53.77,53.970001,53.610001,53.790001,5441200,51.777225
2015-07-23,53.950001,53.970001,53.48,53.82,4768800,51.806102
